Temperature,Revenue
14.6,324
41.8,970
27.2,659
20.1,478
20.6,426
27.6,650
30.3,680
21.7,506
20.1,474
17.3,406
17.2,429
35.5,801
19.2,446
19.0,451
26.2,618
20.0,542
27.8,655
21.1,522
25.4,604
24.2,589
27.6,635
8.8,247
27.6,641
16.0,382
17.2,391
28.8,655
17.2,413
8.8,265
31.1,685
19.3,460
27.2,616
30.1,699
45.0,1000
19.0,450
15.2,323
21.9,494
29.6,630
19.3,453
29.9,684
21.7,538
25.0,609
31.2,747
34.7,757
21.0,492
37.2,893
26.4,647
35.4,805
24.5,527
38.7,892
29.0,637
12.2,298
11.6,258
17.5,392
20.9,495
40.4,927
26.6,613
39.6,899
22.4,490
9.4,292
19.5,430
22.3,501
18.9,476
21.8,531
18.2,454
14.9,297
28.9,683
25.4,582
18.6,433
22.5,508
30.1,692
17.0,449
27.3,613
4.9,189
23.5,502
12.4,334
32.7,794
16.8,380
27.0,582
23.9,585
34.5,810
23.1,553
15.0,378
25.2,572
22.3,525
32.9,756
12.6,307
22.4,567
29.0,656
